YEAR,WINNER,WINS
2007,rafael nadal,1
2007,roger federer,3
2008,novak djokovic,1
2008,rafael nadal,2
2008,roger federer,1
2009,juan martin del potro,1
2009,rafael nadal,1
2009,roger federer,2
2010,rafael nadal,3
2010,roger federer,1
2011,novak djokovic,3
2011,rafael nadal,1
2012,andy murray,1
2012,novak djokovic,1
2012,rafael nadal,1
2012,roger federer,1
2013,andy murray,1
2013,novak djokovic,1
2013,rafael nadal,2
2014,marin cilic,1
2014,novak djokovic,1
2014,rafael nadal,1
2014,stan wawrinka,1
2015,novak djokovic,3
2015,stan wawrinka,1
2016,andy murray,1
2016,novak djokovic,2
2016,stan wawrinka,1
2017,rafael nadal,2
2017,roger federer,2
2018,novak djokovic,2
2018,rafael nadal,1
2018,roger federer,1
2019,novak djokovic,2
2019,rafael nadal,2
2020,dominic thiem,1
2020,novak djokovic,1
2020,rafael nadal,1
2021,daniil medvedev,1
2021,novak djokovic,3
2022,carlos alcaraz,1
2022,rafael nadal,2
2023,novak djokovic,1
